case,dice,iou,tp,fp,fn,tn,n_pred,n_ref,volume_difference,volume_difference_pct
AAA_101,0.937689034019432,0.8826878984101388,35033,4017,639,4154615,39050,35672,3378,9.469612020632429
AAA_018,0.940776182881446,0.8881750652479422,30968,3506,393,4159437,34474,31361,3113,9.926341634514205
AAA_051,0.9504224454009246,0.9055285540704738,23848,1286,1202,4167968,25134,25050,84,0.33532934131736525
AAA_011,0.9580355305576514,0.9194512468072781,34918,2510,549,4156327,37428,35467,1961,5.529083373276567
AAA_096,0.9655806352772954,0.9334518167456556,23635,887,798,4168984,24522,24433,89,0.3642614496787132
AAA_128,0.9656239032085129,0.9335326929960626,125183,1712,7201,4060208,126895,132384,-5489,-4.146271452743534
AAA_199,0.9660688507107463,0.9343647798742138,37141,787,1822,4154554,37928,38963,-1035,-2.6563662962297565
AAA_062,0.9694524312560563,0.9407158491845732,61028,2238,1608,4129430,63266,62636,630,1.0058113544926242
AAA_192,0.9715894648338971,0.9447486500874591,24845,380,1073,4168006,25225,25918,-693,-2.673817424183965
AAA_028,0.9716404049397118,0.9448449838042781,63298,2765,930,4127311,66063,64228,1835,2.8570094039982563
AAA_056,0.9721331943210926,0.9457773993187738,37763,1562,603,4154376,39325,38366,959,2.499609028827608
AAA_140,0.9729030848235423,0.9472359136200844,26713,548,940,4166103,27261,27653,-392,-1.4175677141720608
AAA_179,0.9729035572107358,0.9472368092023006,22728,973,293,4170310,23701,23021,680,2.9538247686894574
AAA_146,0.9734351630024751,0.948245184249207,36772,1737,270,4155525,38509,37042,1467,3.9603693105123914
AAA_055,0.9740096038415366,0.9493359854911367,32454,1026,706,4160118,33480,33160,320,0.9650180940892642
AAA_053,0.9741601044675715,0.9496219719179139,49236,2155,457,4142456,51391,49693,1698,3.416980258788964
AAA_017,0.9751484895966185,0.9515022222222222,26761,633,731,4166179,27394,27492,-98,-0.35646733595227703
AAA_074,0.9758952722975656,0.9529252681871451,52854,2127,484,4138839,54981,53338,1643,3.0803554688964714
AAA_133,0.9769770530712396,0.9549903606798301,231334,5958,4945,3952067,237292,236279,1013,0.42873044155426426
AAA_158,0.9772972261724622,0.9556024009936511,193111,553,8419,3992221,193664,201530,-7866,-3.9031409715675087
AAA_145,0.9774698429025622,0.9559325327648192,167249,3757,3953,4019345,171006,171202,-196,-0.11448464387098281
AAA_141,0.9777270015873176,0.9564245589049767,48353,1291,912,4143748,49644,49265,379,0.7693088399472242
AAA_184,0.977900166708853,0.9567560182061945,112039,3145,1919,4077201,115184,113958,1226,1.0758349567384475
AAA_021,0.9779299277881787,0.9568129958759866,137118,1121,5068,4050997,138239,142186,-3947,-2.775941372568326
AAA_123,0.9788622066538656,0.9585995279307632,60919,1369,1262,4130754,62288,62181,107,0.17207828757980734
AAA_136,0.9793187653143999,0.9594756247439574,58552,862,1611,4133279,59414,60163,-749,-1.2449512158635707
AAA_172,0.9794589820657825,0.9597448459723908,68759,627,2257,4122661,69386,71016,-1630,-2.2952574067815705
AAA_175,0.9794619531988217,0.9597505514555704,70486,1211,1745,4120862,71697,72231,-534,-0.7392947626365411
AAA_131,0.9795812909702947,0.9599797439050858,66349,1336,1430,4125189,67685,67779,-94,-0.1386860236946547
AAA_196,0.9797062310113912,0.9602197531624143,62397,658,1927,4129322,63055,64324,-1269,-1.9728250730675954
AAA_156,0.979765667884386,0.9603339517625232,51762,1260,878,4140404,53022,52640,382,0.7256838905775076
AAA_107,0.980423620025674,0.9615989927604659,48880,748,1204,4143472,49628,50084,-456,-0.9104704097116844
AAA_190,0.9806039430995758,0.9619459840576587,49116,1109,834,4143245,50225,49950,275,0.5505505505505506
AAA_157,0.9811373595598168,0.9629731434022669,59557,1414,876,4132457,60971,60433,538,0.890242086277365
AAA_103,0.9824173393785248,0.9654422951532275,53304,853,1055,4139092,54157,54359,-202,-0.37160359830018946
AAA_057,0.9828278356967319,0.9662354812569405,64388,1606,644,4127666,65994,65032,962,1.4792717431418378
AAA_150,0.9836401355006433,0.9678069450186028,74916,1578,914,4116896,76494,75830,664,0.8756428854015561
AAA_159,0.9840917162188003,0.9686816535800079,54035,832,915,4138522,54867,54950,-83,-0.1510464058234759
AAA_174,0.9848437759740963,0.9701401150538247,68131,1377,720,4124076,69508,68851,657,0.9542345063978737
AAA_142,0.9865900897961064,0.9735350719015653,128493,2036,1457,4062318,130529,129950,579,0.4455559830704117
